Rio,Distribucion,n,KS_stat,KS_pvalue,RMSE_prob,logLik,AIC,BIC
6 Tributarios,Gumbel_Momentos,76,0.26321033371405933,3.896804178544482e-05,0.12642609123138818,-484.30097800995065,972.6019560199013,977.2634227004739
6 Tributarios,Gumbel_MLE,76,0.1737526171419675,0.017771956384362686,0.08742727103527462,-467.3609314786517,938.7218629573034,943.383329637876
6 Tributarios,Exponencial_1P,76,0.1125467854693476,0.2699455566915433,0.06449288171211316,-453.6364291353803,911.2728582707606,915.9343249513332
6 Tributarios,Exponencial_2P,76,0.1274849170829831,0.1549515076582213,0.06189028921265095,-447.28363254568126,898.5672650913625,903.2287317719351
6 Tributarios,GEV_MLE,76,0.06674844981431932,0.8647364228784918,0.02337715023868737,-441.41656575957063,888.8331315191413,895.8253315400002
Conchos,Gumbel_Momentos,76,0.26240905655499364,4.1646022444592694e-05,0.1206431179969657,-435.9642527642838,875.9285055285676,880.5899722091402
Conchos,Gumbel_MLE,76,0.173891699250948,0.017638750938479664,0.08609828884460108,-421.8020049207332,847.6040098414664,852.2654765220391
Conchos,Exponencial_1P,76,0.11458585832236212,0.2513162754272463,0.059033561778252114,-404.7005229350886,813.4010458701772,818.0625125507498
Conchos,Exponencial_2P,76,0.13831451637829262,0.09912480966421766,0.06878386450762218,-397.62158186004064,799.2431637200813,803.9046304006539
Conchos,GEV_MLE,76,0.05382541175879013,0.9718657375260731,0.022420362641123678,-395.7017281326697,797.4034562653394,804.3956562861983
Escondido,Gumbel_Momentos,76,0.2863551063246737,5.205908740550681e-06,0.12350624741027688,-246.59609898959022,497.19219797918043,501.8536646597531
Escondido,Gumbel_MLE,76,0.13747615848265415,0.10274767705033361,0.0758474676842168,-228.14039544065588,460.28079088131176,464.94225756188445
Escondido,Exponencial_1P,76,0.10614806830676327,0.33479989437174185,0.054061269732794175,-206.2817567358699,416.5635134717398,421.22498015231247
Escondido,Exponencial_2P,76,0.110252658373611,0.29207669099766875,0.06012372986120065,-204.52311423998236,413.0462284799647,417.7076951605374
Escondido,GEV_MLE,76,0.08029586377265113,0.6809517332490017,0.03465284669709598,-202.66968204338704,411.3393640867741,418.3315641076331
Salado,Gumbel_Momentos,76,0.37645278349315436,3.48816170435049e-10,0.17937073529229428,-437.32125960608596,878.6425192121719,883.3039858927445
Salado,Gumbel_MLE,76,0.23478877831479283,0.00036141931661473744,0.13180490582492851,-405.4882433042962,814.9764866085924,819.637953289165
Salado,Exponencial_1P,76,0.23436311963540357,0.00037292349852832663,0.13706577229222477,-372.39697388153974,748.7939477630795,753.4554144436521
Salado,Exponencial_2P,76,0.2361886520489439,0.00032589330733732774,0.14489267450729001,-370.41928585728016,744.8385717145603,749.500038395133
Salado,GEV_MLE,76,0.04879167699339404,0.9895903293352144,0.02043576737448909,-350.1211982011803,706.2423964023606,713.2345964232195
San Diego,Gumbel_Momentos,76,0.23555813405794168,0.0003414676408504099,0.1003937009535906,-305.51583206299426,615.0316641259885,619.6931308065612
San Diego,Gumbel_MLE,76,0.09939473538180377,0.4137177986215982,0.04901597098298465,-290.923300693384,585.846601386768,590.5080680673407
San Diego,Exponencial_1P,76,0.09348577693318623,0.4909062415214802,0.041546761509350064,-282.2800470974181,568.5600941948362,573.2215608754088
San Diego,Exponencial_2P,76,0.07657349718877793,0.7351359159660524,0.02732326305612436,-275.20465883030676,554.4093176606135,559.0707843411861
San Diego,GEV_MLE,76,0.06869813385627305,0.8414223228961341,0.03243009797025399,-277.23458479962324,560.4691695992465,567.4613696201054
San Rodrigo,Gumbel_Momentos,76,0.3536975777798734,5.200189592948936e-09,0.15927172982244656,-358.47450435088246,720.9490087017649,725.6104753823375
San Rodrigo,Gumbel_MLE,76,0.21408415964435773,0.0015496569096574708,0.10721183461445104,-332.21073017302314,668.4214603460463,673.0829270266189
San Rodrigo,Exponencial_1P,76,0.2330892136105987,0.00040944252541361094,0.12638898099032073,-298.2930920496184,600.5861840992368,605.2476507798094
San Rodrigo,Exponencial_2P,76,0.2330892136105987,0.00040944252541361094,0.12638898099032073,-298.2930920496184,600.5861840992368,605.2476507798094
San Rodrigo,GEV_MLE,76,0.08404097267923061,0.6257815934352913,0.040444368690803846,-285.69510361377013,577.3902072275403,584.3824072483992
Vacas,Gumbel_Momentos,76,0.3216582691312828,1.6978357485328672e-07,0.15089508920049474,-217.56201822609222,439.12403645218444,443.7855031327571
Vacas,Gumbel_MLE,76,0.2035734779383292,0.003076951665931804,0.10684184330607728,-194.93141531474384,393.8628306294877,398.5242973100604
Vacas,Exponencial_1P,76,0.17775354791786424,0.014278472744751802,0.09175545347222522,-169.32438730161422,342.64877460322845,347.31024128380113
Vacas,Exponencial_2P,76,0.19028196169989675,0.006962669825355872,0.10033767359327996,-166.35668256963027,336.71336513926053,341.3748318198332
Vacas,GEV_MLE,76,0.044170211146231764,0.9969774771023372,0.016419336902215066,-155.3037645273625,316.607529054725,323.599729075584
